1250 Killing-Floor May-14-2009 44364 3496958 2989220 0 0 0 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 19.99 19.99
1300 SiN-Episodes:-Emergence May-10-2006 385 219883 69767 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 9.99 9.99
1300 SiN-Episodes:-Emergence May-10-2006 385 219883 69767 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 9.99 9.99
1300 SiN-Episodes:-Emergence May-10-2006 385 219883 69767 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 9.99 9.99
1500 Darwinia Jul-14-2005 444 674354 214861 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 USD 9.99 9.99
1510 Uplink Aug-23-2006 1240 728339 314938 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 USD 9.99 9.99
1520 DEFCON Sep-29-2006 1655 811736 451423 0 0 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 USD 9.99 9.99
1530 Multiwinia Sep-19-2008 340 619832 139534 0 0 0 1 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 USD 9.99 9.99
1600 Dangerous-Waters Feb-7-2006 112 53087 22957 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 USD 14.99 14.99
1610 Space-Empires-IV-Deluxe Feb-7-2006 0 69946 31566 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 USD 9.99 9.99
1620 Jagged-Alliance-2-Gold Jul-6-2006 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 USD 19.99 19.99
1630 Disciples-II:-Rise-of-the-Elves Jul-6-2006 299 106175 48783 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 USD 6.49 6.49
1640 Disciples-II:-Galleans-Return Jul-6-2006 400 113708 60800 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 USD 6.49 6.49
1670 Iron-Warriors:-T---72-Tank-Command Jul-26-2006 210 43403 17218 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 USD 4.99 4.99
1690 Space-Empires-V Oct-16-2006 204 69408 38740 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 USD 14.99 14.99
1700 Arx-Fatalis Apr-3-2007 389 119806 57033 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 USD 4.99 4.99
1840 Source-Filmmaker Jul-10-2012 10079 1146403 1146403 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0  0 0
1900 Earth-2160 Apr-1-2006 412 236024 94876 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 USD 4.99 4.99
1930 Two-Worlds-Epic-Edition Apr-30-2009 2399 942661 416629 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 USD 9.99 9.99
2100 Dark-Messiah-of-Might-&-Magic Oct-25-2006 2776 966156 405509 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 USD 9.99 9.99
2100 Dark-Messiah-of-Might-&-Magic Oct-25-2006 2776 966156 405509 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 USD 9.99 9.99
2200 Quake-III-Arena Aug-3-2007 656 319063 141686 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 14.99 14.99
2210 Quake-IV Aug-4-2011 509 173790 93082 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 14.99 14.99
2270 Wolfenstein-3D Aug-3-2007 1061 288035 134871 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2280 Ultimate-Doom Aug-3-2007 2000 446580 234051 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2290 Final-DOOM Aug-3-2007 389 374123 116577 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2300 DOOM-II Aug-3-2007 1279 443890 194594 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2310 QUAKE Aug-3-2007 1266 340047 181860 0 0 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2320 QUAKE-II Aug-3-2007 660 318525 140969 0 0 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2330 QUAKE-II-Mission-Pack:-The-Reckoning Aug-3-2007 0 279247 18114 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 2.99 2.99
2340 QUAKE-II-Mission-Pack:-Ground-Zero Aug-3-2007 0 278171 22239 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 2.99 2.99
2350 QUAKE-III:-Team-Arena Aug-3-2007 0 317987 51115 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 14.99 14.99
2360 HeXen:-Beyond-Heretic Aug-3-2007 158 184551 37305 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2370 HeXen:-Deathkings-of-the-Dark-Citadel Aug-3-2007 0 178632 17038 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2390 Heretic:-Shadow-of-the-Serpent-Riders Aug-3-2007 241 185089 46452 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2400 The-Ship:-Murder-Party Jul-11-2006 5026 1364671 928313 0 1 0 1 1 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 USD 9.99 9.99
2420 The-Ship:-Single-Player Nov-20-2006 706 1327366 366411 0 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0  0 0
2450 Bloody-Good-Time Oct-29-2010 716 116936 90392 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2500 Shadowgrounds May-8-2006 973 565669 245530 0 0 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 6.99 6.99
2520 Gumboy---Crazy-Adventures(tm) Dec-19-2006 0 72637 17397 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 USD 4.99 4.99
2520 Gumboy---Crazy-Adventures(tm) Dec-19-2006 0 72637 17397 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 USD 4.99 4.99
2540 RIP---Trilogy(tm) Jun-1-2007 291 137920 34614 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 USD 4.99 4.99
2540 RIP---Trilogy(tm) Jun-1-2007 291 137920 34614 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 USD 4.99 4.99
2540 RIP---Trilogy(tm) Jun-1-2007 291 137920 34614 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 USD 4.99 4.99
2570 Vigil:-Blood-Bitterness(tm) Jun-29-2007 129 63310 19908 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0  0 0
2590 Alpha-Prime Nov-7-2007 984 312427 64207 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 4.99 4.99
2600 Vampire:-The-Masquerade---Bloodlines Mar-22-2007 3983 544326 407303 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 19.99 19.99
2610 GUN(tm) Oct-13-2006 351 70664 43044 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 19.99 19.99
2620 Call-of-Duty(r) Oct-13-2006 851 223470 158007 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 19.99 19.99
2630 Call-of-Duty(r)-2 Oct-13-2006 1307 340226 255573 0 0 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 19.99 19.99
2640 Call-of-Duty:-United-Offensive Oct-13-2006 318 189034 96311 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 USD 19.99 19.99
